elapsed_s,raw_bass,smoothed_b,scaled_b,mean_history,kick_ratio_needed,drop_ratio_needed,is_kick,is_drop,beat_bpm
4.016,1.66308,1.56302,70,78.10,101.53,140.58,0,0,0.0
4.100,1.58725,1.57513,70,77.62,100.91,139.72,0,0,0.0
4.101,1.91786,1.74649,78,77.85,101.20,140.13,0,0,0.0
4.101,1.21845,1.48247,66,77.17,100.33,138.91,0,0,0.0
4.101,1.28349,1.38298,62,76.83,99.87,138.28,0,0,0.0
4.102,1.49406,1.43852,64,76.03,98.83,136.85,0,0,0.0
4.102,1.28387,1.36120,61,75.47,98.12,135.85,0,0,0.0
4.102,1.40617,1.38369,62,74.90,97.37,134.82,0,0,0.0
4.185,1.97975,1.68172,75,74.92,97.40,134.87,0,0,0.0
4.185,2.19907,1.94040,87,75.30,97.89,135.54,0,0,0.0
4.186,1.46863,1.70451,76,75.05,97.56,135.09,0,0,0.0
4.186,1.88432,1.79442,80,75.40,98.02,135.72,0,0,0.0
4.186,1.29718,1.54580,69,75.03,97.53,135.05,0,0,0.0
4.186,1.26948,1.40764,63,75.08,97.60,135.14,0,0,0.0
4.186,1.35572,1.38168,62,74.72,97.14,134.50,0,0,0.0
4.270,1.81287,1.59728,71,74.72,97.14,134.50,0,0,0.0
4.270,2.00175,1.79951,80,75.17,97.73,135.31,0,0,0.0
4.270,1.28419,1.54185,69,74.85,97.30,134.73,0,0,0.0
4.271,1.68248,1.61216,72,75.05,97.56,135.09,0,0,0.0
4.271,1.21352,1.41284,63,74.30,96.59,133.74,0,0,0.0
4.271,1.30479,1.35881,61,74.10,96.33,133.38,0,0,0.0
4.271,1.28228,1.32055,59,73.30,95.29,131.94,0,0,0.0
4.271,1.50619,1.41337,63,72.88,94.74,131.18,0,0,0.0
4.356,2.16807,1.79072,80,72.97,94.87,131.35,0,0,0.0
4.356,1.25703,1.52387,68,72.55,94.31,130.59,0,0,0.0
4.356,1.87663,1.70025,76,72.60,94.38,130.68,0,0,0.0
4.356,1.60269,1.65147,74,72.10,93.73,129.78,0,0,0.0
4.356,1.75456,1.70302,76,71.88,93.44,129.38,0,0,0.0
4.356,1.39600,1.54951,69,71.42,92.85,128.56,0,0,0.0
4.356,1.94602,1.74777,78,71.45,92.89,128.61,0,0,0.0
4.441,1.75177,1.74977,78,71.35,92.75,128.43,0,0,0.0
4.441,1.36971,1.55974,70,71.33,92.72,128.39,0,0,0.0
4.441,1.58068,1.57021,70,71.15,92.50,128.07,0,0,0.0
4.442,1.48330,1.52675,68,70.85,92.10,127.53,0,0,0.0
4.442,1.76350,1.64513,74,70.83,92.07,127.49,0,0,0.0
4.442,1.46061,1.55287,69,70.53,91.68,126.95,0,0,0.0
4.442,1.94588,1.74937,78,70.62,91.81,127.12,0,0,0.0
4.527,1.71981,1.73459,78,70.55,91.72,126.99,0,0,0.0
4.527,1.57146,1.65303,74,70.70,91.91,127.26,0,0,0.0
4.527,1.69488,1.67395,75,70.95,92.24,127.71,0,0,0.0
4.527,1.33386,1.50391,67,70.88,92.14,127.58,0,0,0.0
4.527,2.19789,1.85090,83,71.20,92.56,128.16,0,0,0.0
